grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size9_comp0.4_grid8_base_medium,9,0.4,8,medium,base,base,4,5,9,5,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,14.0,0.7785714285714286,0.7719298245614035,0.7831325301204819,0.6786321573163678,0.6465410103312278,0.23809523809523808,0.24249584166273463,0.43753303484111516,0.1564054951914936,0.5025403539350249,0.1308325346576048,0.1478655603655604,0.7785714285714286,140,4.0,4.3,4.8,0.9,5.4,3.3,2.3,2.0,3.2,1.9,1.1,1.2
size9_comp0.4_grid9_base_medium,9,0.4,9,medium,base,base,5,4,9,7,1,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.0,0.823076923076923,0.8048780487804879,0.8541666666666666,0.7143247928542047,0.7530919894357304,0.4117647058823529,0.25570330444493705,0.7357107047205089,0.1378103942084984,0.5176604474784894,0.08854554611135795,0.1557444189797131,0.823076923076923,130,3.8,2.8,5.5,0.9,4.9,1.8,3.8,1.5,2.3,1.5,0.0,0.6
size9_comp0.6_grid0_base_medium,9,0.6,0,medium,base,base,5,3,8,6,1,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.1,0.7709923664122137,0.8194444444444444,0.711864406779661,0.7222592145362544,0.6482865623438974,0.3684210526315789,0.2571889766332241,0.4835310796258239,0.21774191402605753,0.6365502982417178,0.275448485783503,0.12798853193590035,0.7709923664122137,131,1.0,4.5,4.8,2.8,4.5,4.2,1.0,2.4,4.4,2.3,1.6,0.9
size9_comp0.6_grid1_base_medium,9,0.6,1,medium,base,base,11,4,15,7,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,12.7,0.7007874015748031,0.7007874015748031,0.0,0.0,0.7150034045742172,0.3333333333333333,0.09006385308109735,0.7150034045742172,0.09006385308109735,0.0,0.0,0.24629148629148626,0.7007874015748031,127,3.6,2.0,0.6,5.3,4.0,1.5,2.1,1.8,4.5,1.8,0.0,0.7
size9_comp0.6_grid2_base_medium,9,0.6,2,medium,base,base,4,5,9,5,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,12.6,0.7777777777777778,0.7692307692307693,0.7837837837837838,0.7420437457279563,0.7114891945945557,0.2727272727272727,0.267171950759216,0.7565714951074926,0.12445906688923412,0.5617844293975177,0.13056649955658,0.2347349620076893,0.7777777777777778,126,2.6,4.0,3.8,2.2,4.9,2.7,2.2,1.8,3.6,1.4,1.1,2.0
size9_comp0.6_grid3_base_medium,9,0.6,3,medium,base,base,7,3,10,8,1,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,12.1,0.8677685950413223,0.8333333333333334,0.967741935483871,0.8558223639105993,0.5488801116440526,0.09090909090909091,0.14712883341882863,0.5607129963943499,0.07155383252304438,0.14649899564050448,0.015672164780756472,0.08454651409196864,0.8677685950413223,121,1.1,5.5,4.3,1.2,4.1,3.1,2.7,1.2,2.2,0.9,0.2,1.1
size9_comp0.6_grid4_base_medium,9,0.6,4,medium,base,base,5,8,13,3,5,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.7,0.874251497005988,0.9298245614035088,0.8454545454545455,0.793469089390142,0.7826595305658771,0.26666666666666666,0.26674166113866066,0.24747254443831057,0.026289050101168134,0.5921045832973928,0.1609025495766297,0.16939427722036418,0.874251497005988,167,5.2,3.3,3.8,4.4,6.1,3.4,3.8,2.4,6.8,2.4,1.3,0.5
size9_comp0.6_grid5_base_medium,9,0.6,5,medium,base,base,4,7,11,3,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.3,0.9097744360902256,0.8979591836734694,0.9166666666666666,0.8396875673346262,0.7393466355314939,0.35294117647058826,0.3008985955722836,0.3424349602109278,0.22578165513191326,0.26507792971373373,0.10207155597490077,0.10979249508661275,0.9097744360902256,133,2.8,2.7,2.4,5.4,6.9,2.8,1.3,1.3,3.2,1.3,0.7,0.1
size9_comp0.6_grid6_base_medium,9,0.6,6,medium,base,base,6,4,10,10,0,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,14.5,0.8206896551724138,0.78125,0.8979591836734694,0.7106975326015574,0.48211401932622244,0.2292481250360578,0.16538568366439588,0.6572099412357283,0.1527809947890312,0.22286382303645313,0.09630797096863684,0.08362179487179489,0.8206896551724138,145,5.8,0.8,4.6,3.3,5.7,3.2,3.3,1.3,2.6,1.3,0.2,0.7
size9_comp0.6_grid7_base_medium,9,0.6,7,medium,base,base,6,5,11,9,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,19.2,0.7708333333333334,0.8433734939759037,0.7155963302752294,0.6596999781694054,0.5774742906462523,0.37037037037037035,0.24621809041092166,0.434448111586465,0.15532469332194546,0.564434048755182,0.19442213516665577,0.04987004548408055,0.7708333333333334,192,2.1,6.1,7.9,3.1,8.6,2.5,2.4,4.7,6.7,4.5,2.6,0.6
size9_comp0.6_grid8_base_medium,9,0.6,8,medium,base,base,6,6,12,4,5,1,1,1,10,9,9,1,0.9,0.9,0.1,0.9,20.0,0.745,0.7422680412371134,0.7475728155339806,0.5278659673659674,0.8490116053632528,0.391304347826087,0.3608278005219261,0.8642514388158975,0.228509535388859,0.8209022561075106,0.22316824526970308,0.12710126598099405,0.745,200,3.6,5.8,4.4,6.2,4.7,3.9,5.9,4.5,6.8,4.4,0.7,1.0
size9_comp0.6_grid9_base_medium,9,0.6,9,medium,base,base,4,9,13,5,4,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,16.0,0.875,0.8936170212765957,0.8672566371681416,0.8361134453781514,0.7549064926843486,0.2777777777777778,0.23134582791254946,0.3746750897023375,0.09401852102609978,0.5512548024304591,0.11435900112561731,0.14172925839592507,0.875,160,2.8,3.8,2.7,6.6,5.6,4.6,3.1,1.5,5.1,1.3,0.5,0.9
