grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,astar_coin_distance,astar_goal_distance,astar_total_distance,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps
size7_comp0.2_grid0_ReflectEnv_low,7,0.2,0,low,ReflectEnv,4,3,7,5,4,4,0,0.8,0.8,0.0,0.8,30.0,0.4866666666666667,0.4444444444444444,0.8666666666666667,0.3363377609108159,1.0635888387612615,0.5333333333333333,0.4170488656976924,1.2297858246970714,0.3585436481962814,0.4688968687611256,0.17463893061093838,0.19308527729580363,0.4866666666666667,150
size7_comp0.2_grid0_RotateEnv_low,7,0.2,0,low,RotateEnv,4,3,7,5,5,5,0,1.0,1.0,0.0,1.0,22.4,0.5267857142857143,0.5058823529411764,0.5925925925925926,0.37606632923768474,0.8745166705757755,0.5625,0.4365486397840494,0.9850430128035081,0.3629880031652266,0.37308295905322164,0.2149258645509423,0.19856393606393605,0.5267857142857143,112
size7_comp0.2_grid0_StartGoalSwap_low,7,0.2,0,low,StartGoalSwap,3,4,7,5,3,1,2,0.6,0.2,0.4,0.2,25.8,0.3643410852713178,0.43243243243243246,0.33695652173913043,0.10769230769230768,1.1493631439797731,0.5365601562950723,0.4630666652317412,1.142503179078797,0.3352580017975216,0.995735187568916,0.4886780393980885,0.3804373271744595,0.3643410852713178,129
size7_comp0.2_grid0_TransposeEnv_low,7,0.2,0,low,TransposeEnv,4,3,7,5,2,2,1,0.4,0.4,0.2,0.4,39.2,0.2602040816326531,0.21637426900584794,0.56,0.1411764705882353,0.9041833916918466,0.46153846153846156,0.42958431649961404,1.0029423170931282,0.4686184164052929,0.8195328842050337,0.33141307302504286,0.28120597351366583,0.2602040816326531,196
size7_comp0.2_grid0_base_low,7,0.2,0,low,base,4,3,7,5,4,2,1,0.8,0.4,0.2,0.4,37.8,0.3439153439153439,0.3333333333333333,0.36507936507936506,0.1275,1.0286302963042049,0.4666666666666667,0.5295265376147621,1.1248183332352604,0.4422088839030404,0.9645049383501679,0.49900378084160013,0.21873737373737376,0.3439153439153439,189
