trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
3,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0,UR,-0.0,0,1,0,0,2,0.0,1.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
4,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,1,0,1,0,0,0,0,0,0.0,UR,-0.0,0,1,0,0,2,0.0,1.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
5,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,0,1,1,0,0,0,0,0,0.0,UR,-0.0,0,2,0,0,1,0.0,1.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
6,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0,1,2,0,0,1,1,0,0,0,0,0,0.0,UR,-0.0,0,2,0,0,1,0.0,1.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
7,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,3,1,0,0,0,0,0,0.0,UR,-0.0,0,4,0,0,1,0.0,1.0,0.0,0.0,0.2,UR,0.0,0.2,0.0,0.0,1,ur,midline,dr,1,0,0,0,0
8,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,0,3,1,1,1,0,0,0.0,UR,-0.0,0,2,0,0,3,0.0,1.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
9,1,size7_comp0.0_grid1_base_medium,7,0.0,medium,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,2,2,0,0,0,3,1,1,1,0,0,0.0,UR,-0.0,0,2,0,0,3,0.0,1.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.0,0,ur,midline,dr,1,0,0,0,0
0,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,16,0.0,0.4375,0.4375,0.0,4,0,5,4,3,1,4,2,5,2,0,0,0.0,UL,0.9910760598382222,5,0,0,4,7,0.5555555555555556,0.0,0.0,0.4444444444444444,0.4375,UL,0.0625,0.0,0.0,0.0625,1,dr,ur,midline,0,0,0,0,0
1,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,0,-1,12,0.0,0.5,0.5,0.0,4,0,4,3,4,2,3,0,1,0,0,0,0.0,UL,1.2987949406953985,5,1,0,2,4,0.625,0.125,0.0,0.25,0.3333333333333333,UL,0.08333333333333333,0.0,0.0,0.08333333333333333,1,dr,ur,midline,0,0,0,0,0
2,2,size7_comp0.0_grid2_base_medium,7,0.0,medium,base,base,5,4,9,5,2,1,1,1,1,1,12,21,0.42857142857142855,0.6666666666666666,0.6923076923076923,0.625,5,1,7,6,6,2,4,5,8,5,0,0,0.0,UR,1.4854752972273344,3,5,0,2,11,0.3,0.5,0.0,0.2,0.5238095238095238,UL,0.047619047619047616,0.0,0.0,0.047619047619047616,1,dr,ur,midline,0,0,0,0,0
