collect_mode,grid_size,density,reasoning_effort,n_grids,mean_success_rate,se_success_rate,mean_coins_collected,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,mean_spl,se_spl,mean_entropy,mean_jsd,mean_ece,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all,7,0.0,low,10,0.97,0.021343747458109495,1.94,0.813121212962525,0.01590755505188239,0.8209498290371183,0.8513477352297864,0.7983083237547552,0.6426134075659213,0.025838059054668436,0.9471330201652389,0.34177448641108354,0.18829594457885138,5.66,4.9,3.6799999999999997,3.47,5.46,3.91,4.1,3.2299999999999995,5.779999999999999,3.12,1.69,0.71
collect_all,7,0.0,medium,10,0.95,0.03415650255319866,1.92,0.9105474258784598,0.010116345849130754,0.92446257334005,0.9172137802018463,0.9080639914691971,0.8352513667533017,0.03776127632852578,0.7539489400843199,0.3285581227023864,0.19623195907704744,3.72,2.96,3.09,2.73,4.36,3.02,2.84,1.1300000000000001,2.0,1.09,0.82,0.32
collect_all,7,0.2,low,10,0.9099999999999999,0.04333333333333332,1.9600000000000002,0.6423161800660458,0.013952934162184552,0.6187448984963219,0.7255316725757005,0.6678183604563716,0.4962950220392684,0.033472503901595306,1.0806274731668835,0.35986556161847877,0.1864088959363254,7.859999999999999,5.95,4.529999999999999,6.0,8.2,5.05,5.36,4.7299999999999995,12.17,4.17,2.5200000000000005,4.8100000000000005
collect_all,7,0.2,medium,10,1.0,0.0,2.0,0.8859984510418044,0.00951893705093389,0.9218569079516508,0.8791708793335749,0.871667671002424,0.8280384057463005,0.01911644220964718,0.748000056070986,0.3188560247121866,0.17548637014719834,3.6800000000000006,3.25,3.31,3.9899999999999998,5.58,3.0300000000000002,2.87,1.51,3.09,1.46,1.1800000000000002,0.55
collect_all,7,0.4,low,10,0.8,0.08299933065325822,1.89,0.6730955312347009,0.03550545471462564,0.7072207510468684,0.7704125606367709,0.660680864223057,0.5052394355011915,0.06261879201215079,1.0932423389691337,0.35632176191740383,0.20095398192279554,6.75,5.2700000000000005,6.74,6.589999999999999,8.440000000000001,5.17,5.7299999999999995,5.01,13.85,4.3100000000000005,2.93,4.76
collect_all,7,0.4,medium,10,0.8400000000000001,0.09797958971132713,1.8699999999999999,0.8217077158974153,0.023540141819117753,0.8555774826860537,0.8116633934173997,0.7525302184884445,0.6332281420256403,0.08134736191274956,0.9065029518854535,0.3023841428713217,0.20635668711977811,4.966666666666667,4.407777777777778,4.674444444444445,4.482222222222222,7.138888888888888,3.731111111111111,3.4899999999999998,2.988888888888889,6.67,2.8177777777777777,2.1766666666666667,0.9277777777777778
collect_all,9,0.0,low,10,0.75,0.0968962790249909,1.7600000000000002,0.700508290721857,0.03954964308977119,0.7581742274696212,0.7283893430172277,0.7475357249423519,0.44251357059252105,0.07170693434157455,0.9738956858658533,0.38497171344667963,0.12444899042515986,9.78,10.01,6.640000000000001,8.28,11.14,7.25,7.9399999999999995,7.24,16.89,6.789999999999999,2.0100000000000002,2.81
collect_all,9,0.0,medium,10,0.99,0.01,1.9899999999999998,0.8804701839248403,0.01687966734390444,0.8896546509470756,0.9016832045604681,0.8988650475241441,0.7791444374302581,0.03339133857710433,0.8570758321923231,0.33571594254220627,0.15554587397649497,5.369999999999999,5.029999999999999,4.7299999999999995,4.3100000000000005,7.529999999999999,4.26,4.3,2.31,4.83,2.2199999999999998,0.8699999999999999,0.33999999999999997
collect_all,9,0.2,low,10,0.5900000000000001,0.11590225767142472,1.7099999999999997,0.5846897981220324,0.02581517022081133,0.7204258996861449,0.6327092016760135,0.6487761465802361,0.25958511463897344,0.05980866622093167,1.1495665067940872,0.3979757605906722,0.14987720430231138,14.49,12.139999999999999,9.629999999999999,9.89,13.219999999999999,10.11,10.309999999999999,11.419999999999998,28.96,10.440000000000001,3.78,6.25
collect_all,9,0.2,medium,10,1.0,0.0,2.0,0.8585067735499526,0.010641662642722762,0.8614762466830852,0.8813966747490977,0.8406027182023112,0.7646687791810044,0.019698173267931218,0.7928249611904399,0.34586091100180105,0.1530981541987475,5.92,5.09,4.95,5.2299999999999995,8.82,3.88,4.8100000000000005,2.65,5.14,2.6,1.2,0.8099999999999999
