trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,1,collect_one_size11_comp0.0_grid1_base_low,11,0.0,low,base,base,collect_one,8,6,10,10,7,3,9,1,1,1,1,1,1,0,0,0,-1,-1,0,41,0.0,0.3170731707317073,0.3170731707317073,0.0,0.0,9,5,22,5,22,5,8,5,26,4,0,18,0.43902439024390244
0,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,16,5,1,26,0.3076923076923077,0.6538461538461539,0.8333333333333334,0.6,0.0,8,7,2,9,7,9,8,1,3,1,0,0,0.0
1,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,0,2,1,1,56,11,0,64,0.0,0.53125,0.6666666666666666,0.5,0.0,22,18,9,15,23,15,11,14,34,14,1,2,0.03125
2,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,8,3,1,32,0.25,0.5625,1.0,0.5,0.0,11,10,0,11,12,2,10,7,14,7,0,4,0.125
3,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,16,9,1,28,0.2857142857142857,0.6071428571428571,0.7,0.5555555555555556,0.0,9,8,1,10,7,10,5,5,8,5,0,2,0.07142857142857142
4,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,12,7,1,42,0.19047619047619047,0.47619047619047616,0.75,0.4117647058823529,0.0,12,11,1,18,22,2,6,11,22,10,0,10,0.23809523809523808
5,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,14,23,1,37,0.21621621621621623,0.7027027027027027,0.7333333333333333,0.6818181818181818,0.0,11,13,3,10,13,7,9,7,13,5,4,3,0.08108108108108109
6,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,0,2,1,1,60,3,0,64,0.0,0.484375,1.0,0.45,0.0,17,11,17,19,19,16,19,9,40,8,1,4,0.0625
7,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,31,5,1,41,0.1951219512195122,0.5853658536585366,0.8333333333333334,0.5428571428571428,0.0,10,9,8,14,12,7,13,8,14,7,1,1,0.024390243902439025
8,2,collect_one_size11_comp0.0_grid2_base_low,11,0.0,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,1,2,1,1,34,3,1,47,0.1702127659574468,0.574468085106383,1.0,0.5348837209302325,0.0,13,12,7,15,11,14,11,10,17,10,0,1,0.02127659574468085
