trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,1,collect_all_size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,collect_all,4,3,3,3,4,3,10,1,1,1,1,1,1,2,1,1,11,2,1,22,0.45454545454545453,0.7272727272727273,1.0,0.6666666666666666,0.7,7,4,7,4,2,6,9,4,6,4,3,0,0.0
0,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,8,5,1,27,0.7037037037037037,0.8518518518518519,0.8333333333333334,1.0,0.8333333333333334,8,7,4,8,7,8,9,2,7,2,2,0,0.0
1,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,12,3,1,29,0.6551724137931034,0.8275862068965517,1.0,0.6666666666666666,0.875,8,7,5,9,10,6,9,3,11,3,3,0,0.0
2,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,8,11,1,27,0.7037037037037037,0.8518518518518519,0.8888888888888888,1.0,0.8,8,7,4,8,7,8,8,3,4,3,1,0,0.0
3,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,6,3,1,21,0.9047619047619048,0.9523809523809523,1.0,1.0,0.9285714285714286,5,4,4,8,7,6,6,1,4,1,2,0,0.0
4,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,14,7,1,31,0.6129032258064516,0.8064516129032258,0.75,0.7142857142857143,0.875,10,9,4,8,14,3,6,7,11,7,2,0,0.0
5,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,6,3,1,31,0.6129032258064516,0.8064516129032258,1.0,1.0,0.75,10,9,4,8,9,8,8,5,8,5,1,0,0.0
6,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,0,2,1,1,18,3,0,64,0.0,0.640625,1.0,0.6,0.6222222222222222,23,23,7,11,18,12,15,18,32,18,2,0,0.0
7,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,6,3,1,23,0.8260869565217391,0.9130434782608695,1.0,1.0,0.875,6,5,4,8,8,6,7,1,4,1,0,0,0.0
8,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,6,3,1,23,0.8260869565217391,0.9130434782608695,1.0,1.0,0.875,6,5,4,8,8,6,7,1,4,1,2,0,0.0
9,2,collect_all_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_all,7,4,3,3,12,9,19,1,1,1,1,1,1,2,1,1,12,7,1,43,0.4418604651162791,0.7209302325581395,0.75,0.8,0.7,13,12,7,11,7,15,12,8,12,8,1,0,0.0
0,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,9,3,1,18,1.0,1.0,1.0,1.0,1.0,3,6,6,3,9,5,3,0,0,0,0,0,0.0
1,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,13,3,1,22,0.8181818181818182,0.8636363636363636,1.0,0.7,1.0,6,7,6,3,9,4,6,2,4,1,1,2,0.09090909090909091
2,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,11,5,1,20,0.9,0.95,0.8333333333333334,1.0,1.0,3,6,7,4,11,2,4,2,2,2,1,0,0.0
3,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,14,5,1,23,0.782608695652174,0.8695652173913043,0.8333333333333334,0.7777777777777778,1.0,5,7,7,4,8,4,6,4,5,4,2,1,0.043478260869565216
4,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,19,9,1,28,0.6428571428571429,0.7857142857142857,0.7,0.7,1.0,6,7,9,6,15,5,3,4,11,4,2,2,0.07142857142857142
5,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,13,3,1,22,0.8181818181818182,0.8636363636363636,1.0,0.7,1.0,5,6,7,4,10,2,6,3,6,3,2,2,0.09090909090909091
6,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,12,5,1,21,0.8571428571428571,0.9047619047619048,0.8333333333333334,0.8571428571428571,1.0,4,6,7,4,11,3,3,3,5,3,2,1,0.047619047619047616
7,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,12,3,1,21,0.8571428571428571,0.8571428571428571,1.0,0.6666666666666666,1.0,6,6,6,3,9,7,4,0,3,0,0,3,0.14285714285714285
8,3,collect_all_size11_comp0.0_grid3_base_medium,11,0.0,medium,base,base,collect_all,8,4,6,6,8,10,18,1,1,1,1,1,1,2,1,1,8,14,1,25,0.72,0.96,0.8888888888888888,1.0,1.0,4,6,9,6,15,4,4,1,9,1,1,1,0.04
