collect_mode,grid_size,density,reasoning_effort,n_grids,mean_success_rate,se_success_rate,mean_coins_collected,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,mean_spl,se_spl,mean_entropy,mean_jsd,mean_ece,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_all,7,0.0,medium,10,0.95,0.03415650255319866,1.92,0.9105474258784598,0.010116345849130754,0.92446257334005,0.9172137802018463,0.9080639914691971,0.8352513667533017,0.03776127632852578,0.7539489400843199,0.3285581227023864,0.19623195907704744,3.72,2.96,3.09,2.73,4.36,3.02,2.84,1.1300000000000001,2.0,1.09,0.82,0.32
collect_all,7,0.2,medium,10,1.0,0.0,2.0,0.8859984510418044,0.00951893705093389,0.9218569079516508,0.8791708793335749,0.871667671002424,0.8280384057463005,0.01911644220964718,0.748000056070986,0.3188560247121866,0.17548637014719834,3.6800000000000006,3.25,3.31,3.9899999999999998,5.58,3.0300000000000002,2.87,1.51,3.09,1.46,1.1800000000000002,0.55
collect_all,7,0.4,medium,10,0.8400000000000001,0.09797958971132713,1.8699999999999999,0.8217077158974153,0.023540141819117753,0.8555774826860537,0.8116633934173997,0.7525302184884445,0.6332281420256403,0.08134736191274956,0.9065029518854535,0.3023841428713217,0.20635668711977811,4.966666666666667,4.407777777777778,4.674444444444445,4.482222222222222,7.138888888888888,3.731111111111111,3.4899999999999998,2.988888888888889,6.67,2.8177777777777777,2.1766666666666667,0.9277777777777778
collect_all,9,0.0,medium,10,0.99,0.01,1.9899999999999998,0.8804701839248403,0.01687966734390444,0.8896546509470756,0.9016832045604681,0.8988650475241441,0.7791444374302581,0.03339133857710433,0.8570758321923231,0.33571594254220627,0.15554587397649497,5.369999999999999,5.029999999999999,4.7299999999999995,4.3100000000000005,7.529999999999999,4.26,4.3,2.31,4.83,2.2199999999999998,0.8699999999999999,0.33999999999999997
collect_all,9,0.2,medium,10,1.0,0.0,2.0,0.8585067735499526,0.010641662642722762,0.8614762466830852,0.8813966747490977,0.8406027182023112,0.7646687791810044,0.019698173267931218,0.7928249611904399,0.34586091100180105,0.1530981541987475,5.92,5.09,4.95,5.2299999999999995,8.82,3.88,4.8100000000000005,2.65,5.14,2.6,1.2,0.8099999999999999
collect_all,9,0.4,medium,10,0.96,0.01632993161855452,1.9600000000000002,0.7955946558110469,0.015893974938134034,0.8350441300828546,0.7823108250290736,0.8398705741909385,0.6658444475381916,0.031706037272545416,0.9037925428843765,0.31896074625777887,0.1273784365308604,5.13,6.9,6.859999999999999,6.39,9.77,4.9799999999999995,5.16,4.33,9.24,4.14,1.8399999999999999,1.58
collect_all,11,0.0,medium,10,0.9800000000000001,0.013333333333333332,1.9899999999999998,0.8549864392741462,0.01437417048904838,0.8699769793403922,0.8397372469412792,0.874280929916558,0.7340472055363715,0.02705980795527369,0.7806292469158711,0.31905248266042385,0.14899163999319914,5.38,6.63,6.74,3.7699999999999996,8.58,4.8100000000000005,5.17,2.95,4.89,2.91,1.21,0.37
collect_all,11,0.2,medium,10,1.0,0.0,2.0,0.8416296020983431,0.014880799769301144,0.8547415260462309,0.8317419452003539,0.8457838500763254,0.7279251092517145,0.02618285120567188,0.8343832257177415,0.36344274974663404,0.12147483773114917,6.92,8.908888888888889,6.906666666666666,5.801111111111111,11.69888888888889,5.648888888888889,6.123333333333333,3.9844444444444442,8.132222222222222,3.8922222222222222,1.6422222222222225,1.0566666666666666
collect_all,11,0.4,medium,10,1.0,0.0,2.0,0.8117037632819086,0.02024688650665738,0.7983676728186044,0.8198561605604315,0.8582380222762158,0.687067233939969,0.03744376817619085,0.7947835375062068,0.3164076392980117,0.13456939793718437,8.321587301587302,7.6898809523809515,7.27765873015873,6.5846825396825395,11.463333333333335,6.487222222222222,6.079087301587302,4.703492063492064,9.749166666666666,4.468095238095239,1.8040873015873014,1.6301587301587301
