grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_optimal_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_optimal_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions,mean_quadrant_fraction_ul,mean_quadrant_fraction_ur,mean_quadrant_fraction_dl,mean_quadrant_fraction_dr,preferred_quadrant,mean_quadrant_entropy,mean_corner_fraction_ul,mean_corner_fraction_ur,mean_corner_fraction_dl,mean_corner_fraction_dr,preferred_corner,mean_max_corner_dwell_run,worst_max_corner_dwell_run,mean_preferred_quadrant_contains_start,mean_preferred_quadrant_contains_coin,mean_preferred_corner_contains_start,mean_preferred_corner_contains_goal,mean_preferred_corner_contains_coin
size9_comp0.4_grid3_base_low,9,0.4,3,low,base,base,9,7,16,4,7,1,1,1,10,0,0,7,0.0,0.0,0.7,0.0,28.4,0.3873239436619718,0.3873239436619718,0.0,0.0,1.0175774634765122,0.4666666666666667,0.5062255853152579,1.0175774634765122,0.4666666666666667,0.5062255853152579,0.0,0.0,0.0,0.3078490693445607,0.3873239436619718,284,0.5,4.2,13.6,10.1,10.1,3.7,3.3,10.3,20.8,7.9,0.0,8.4,0.5600826788473847,0.4399173211526152,0.0,0.0,UL,0.6975034360037273,0.0,0.021327138849929872,0.0,0.0,UR,0.5,3,0.0,0.0,0.0,0.0,0.0
size9_comp0.4_grid4_base_low,9,0.4,4,low,base,base,7,3,10,6,3,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,48.0,0.3854166666666667,0.3854166666666667,0.0,0.0,1.1531731311757054,0.5454545454545454,0.39551210931707037,1.1531731311757054,0.5454545454545454,0.39551210931707037,0.0,0.0,0.0,0.18835351546033888,0.3854166666666667,480,3.4,8.1,13.5,22.4,17.1,6.9,8.7,13.1,36.2,10.7,0.0,14.2,0.5632902006821967,0.02506989748369059,0.4116399018341127,0.0,UL,0.5879324706072006,0.09583333333333333,0.0,0.16458333333333333,0.0,DL,9.5,27,0.6,0.4,0.0,0.0,0.0
size9_comp0.4_grid5_base_low,9,0.4,5,low,base,base,4,6,10,10,0,1,1,1,10,1,0,0,0.1,0.0,0.0,0.0,48.0,0.24791666666666667,0.25,0.2222222222222222,0.0,1.0184510434201852,0.4059665322813276,0.5465407034005708,1.1852641340100505,0.2993164773055071,0.5214063998675807,0.6106857108671814,0.6666666666666666,0.6079801120367689,0.1879800913199065,0.24791666666666667,480,11.1,3.6,23.9,9.4,15.9,10.1,10.2,10.8,34.7,6.5,1.8,22.0,0.12411608999810927,0.06046511627906977,0.12803738414289847,0.6873814095799226,DR,0.8302044451817869,0.035416666666666666,0.00625,0.020833333333333336,0.13749999999999998,DR,6.4,15,0.8,0.1,0.0,0.0,0.0
size9_comp0.4_grid6_base_low,9,0.4,6,low,base,base,6,6,12,10,3,1,1,1,10,1,0,2,0.1,0.0,0.2,0.0,44.8,0.38169642857142855,0.37054631828978624,0.5555555555555556,0.0,0.8325758679726194,0.4523809523809524,0.5259929348879095,0.9550510424681524,0.3939393939393939,0.520937930461397,0.383500228155665,0.6666666666666666,0.5445279511184553,0.24501233947720288,0.38169642857142855,448,8.3,2.1,20.2,14.2,14.0,6.1,8.2,15.5,30.5,12.2,0.6,12.1,0.5545265260806338,0.05627539304009892,0.26038789353480835,0.12881018734445907,UL,1.1991598727267108,0.12299019607843138,0.008333333333333333,0.0,0.035416666666666666,UL,6.7,14,0.1,0.0,0.0,0.0,0.0
size9_comp0.4_grid7_base_low,9,0.4,7,low,base,base,5,4,9,5,2,1,1,1,10,0,0,9,0.0,0.0,0.9,0.0,22.2,0.2927927927927928,0.2927927927927928,0.0,0.0,0.96592210600657,0.2,0.484958822027204,0.96592210600657,0.2,0.484958822027204,0.0,0.0,0.0,0.2263688184498346,0.2927927927927928,222,9.2,2.1,6.3,4.1,6.9,4.1,4.1,5.2,15.5,2.4,0.0,9.9,0.2909663865546218,0.0,0.7059086134453783,0.003125,DL,0.6789377601202923,0.0,0.0,0.11444777812245532,0.0,DL,2.8,16,0.7,0.3,0.0,0.0,0.0
size9_comp0.4_grid8_base_low,9,0.4,8,low,base,base,3,6,9,7,1,1,1,1,10,7,0,0,0.7,0.0,0.0,0.0,48.0,0.3458333333333333,0.4807692307692308,0.18636363636363637,0.0,0.9957123595687654,0.3,0.46317343650916626,1.0522490479888644,0.3333333333333333,0.29753007376415624,0.9494550690432297,0.2727272727272727,0.5986998242096291,0.14901090818692503,0.3458333333333333,480,6.0,4.1,14.8,23.1,13.8,5.9,8.3,19.0,39.4,13.3,8.1,17.1,0.28893370072730534,0.06698606271777004,0.6256109833295738,0.018469253225350785,DL,0.5771359276712442,0.0,0.0,0.3729166666666667,0.0,DL,8.9,21,0.6,0.0,0.0,0.0,0.0
size9_comp0.4_grid9_base_low,9,0.4,9,low,base,base,4,9,13,5,4,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,48.0,0.2125,0.2125,0.0,0.0,1.0830802239081736,0.375,0.6313476156768782,1.0830802239081736,0.375,0.6313476156768782,0.0,0.0,0.0,0.4749522603203411,0.2125,480,4.6,4.8,27.0,11.6,21.4,6.9,6.9,11.8,41.3,7.0,0.0,26.2,0.9586309830949924,0.04136901690500762,0.0,0.0,UL,0.2020841419607688,0.10208333333333335,0.0,0.0,0.0,UL,3.1,21,0.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid0_base_low,9,0.6,0,low,base,base,8,5,13,3,5,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,15.8,0.36075949367088606,0.36075949367088606,0.0,0.0,0.6752396132936784,0.2857142857142857,0.4648695106281085,0.6752396132936784,0.2857142857142857,0.4648695106281085,0.0,0.0,0.0,0.21484593837535013,0.36075949367088606,158,1.1,0.8,11.1,2.8,7.4,2.0,1.4,4.0,11.5,2.4,0.0,7.4,0.9717554756456357,0.02824452435436417,0.0,0.0,UL,0.13153736844997618,0.09727299990457884,0.0,0.0,0.0,UL,1.0,1,1.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid1_base_low,9,0.6,1,low,base,base,6,3,9,3,3,1,1,1,10,0,0,1,0.0,0.0,0.1,0.0,44.3,0.4469525959367946,0.4469525959367946,0.0,0.0,0.8861784405245468,0.5,0.4576778332965146,0.8861784405245468,0.5,0.4576778332965146,0.0,0.0,0.0,0.2345977312329614,0.4469525959367946,443,2.4,2.3,18.5,21.1,8.4,2.8,4.6,27.5,37.8,24.6,0.0,4.6,0.5811403508771931,0.0,0.41359649122807013,0.005263157894736842,UL,0.38125518114755336,0.0,0.0,0.045454545454545456,0.0,DL,0.5,5,0.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid2_base_low,9,0.6,2,low,base,base,12,11,23,3,10,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,9.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.6357382904782743,0.3333333333333333,0.6822794889316451,0.6357382904782743,0.3333333333333333,0.6822794889316451,0.0,0.0,0.0,0.27614379084967317,0.2222222222222222,90,1.0,0.0,6.5,1.5,4.3,0.9,1.0,1.8,6.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,DR,0.0,0.0,0.0,0.0,0.6808974358974359,DR,6.8,13,1.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid3_base_low,9,0.6,3,low,base,base,10,4,14,10,2,1,1,1,10,0,0,5,0.0,0.0,0.5,0.0,36.9,0.24932249322493225,0.24932249322493225,0.0,0.0,1.0093840908706289,0.2608695652173913,0.4707742201838542,1.0093840908706289,0.2608695652173913,0.4707742201838542,0.0,0.0,0.0,0.2648238679703211,0.24932249322493225,369,8.7,2.1,19.7,6.4,15.2,5.3,7.0,8.4,28.1,3.3,0.0,21.7,0.017391304347826087,0.08182539682539683,0.3245652173913044,0.5762180814354727,DR,0.5745476177905182,0.0,0.0,0.041666666666666664,0.1916146706058735,DR,5.8,13,0.6,0.0,0.0,0.0,0.0
size9_comp0.6_grid4_base_low,9,0.6,4,low,base,base,5,8,13,5,4,1,1,1,10,0,0,4,0.0,0.0,0.4,0.0,39.9,0.2556390977443609,0.2556390977443609,0.0,0.0,1.0153748755246594,0.36363636363636365,0.6457159399085867,1.0153748755246594,0.36363636363636365,0.6457159399085867,0.0,0.0,0.0,0.1914721548373299,0.2556390977443609,399,3.9,1.4,18.9,15.7,17.0,3.8,4.5,13.6,31.5,9.6,0.0,15.9,0.3527743824802648,0.317122532639774,0.19500127323656738,0.1351018116433938,UL,0.7729270380495831,0.1,0.0,0.03958333333333333,0.0,UL,6.1,26,0.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid5_base_low,9,0.6,5,low,base,base,7,7,14,10,2,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,45.1,0.20842572062084258,0.20842572062084258,0.0,0.0,1.1860389174253618,0.0,0.6201957369888851,1.1860389174253618,0.0,0.6201957369888851,0.0,0.0,0.0,0.4223562038894708,0.20842572062084258,451,0.5,21.5,14.3,8.8,15.5,12.3,10.2,6.1,39.6,4.8,0.0,27.0,0.8856562137049941,0.0,0.11190476190476191,0.0024390243902439024,UL,0.29468434366173873,0.0,0.0,0.017215213531445662,0.0,DL,0.7,4,1.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid6_base_low,9,0.6,6,low,base,base,9,5,14,6,5,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,40.2,0.4552238805970149,0.4552238805970149,0.0,0.0,1.0639475317011422,0.3873507353365386,0.48769068052424464,1.0639475317011422,0.3873507353365386,0.48769068052424464,0.0,0.0,0.0,0.021173410541297705,0.4552238805970149,402,3.3,1.2,15.4,20.3,14.8,4.1,3.0,17.3,31.7,14.6,0.0,7.8,0.11384024064171124,0.20364304812834227,0.5123042046056752,0.17021250662427137,DL,1.1031692393363437,0.0,0.0020833333333333333,0.0,0.0,UR,0.1,1,0.5,0.3,0.0,0.0,0.0
size9_comp0.6_grid7_base_low,9,0.6,7,low,base,base,6,6,12,8,2,1,1,1,10,4,0,0,0.4,0.0,0.0,0.0,48.0,0.38958333333333334,0.38242894056847543,0.41935483870967744,0.0,0.932196457748408,0.4583333333333333,0.4578732044207325,0.9532469248050811,0.4,0.4584409307171576,0.8971123459872862,0.5555555555555556,0.4569269939266907,0.17204234012953296,0.38958333333333334,480,3.7,2.4,15.5,26.4,18.8,6.1,3.9,18.2,39.2,12.4,0.8,15.7,0.3094043887147335,0.602024182713838,0.08571428571428572,0.002857142857142857,UR,0.8320381685593189,0.0,0.0125,0.0,0.0,UR,0.6,5,0.0,0.0,0.0,0.0,0.0
size9_comp0.6_grid8_base_low,9,0.6,8,low,base,base,9,5,14,10,5,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,48.0,0.3729166666666667,0.3729166666666667,0.0,0.0,1.2298491726423915,0.215413541726763,0.516041977513415,1.2298491726423915,0.215413541726763,0.516041977513415,0.0,0.0,0.0,0.2500353383661531,0.3729166666666667,480,4.5,2.2,19.6,21.7,15.0,5.9,5.1,21.0,38.5,14.7,0.0,14.6,0.3725620288412434,0.17699771282782115,0.45044025833093543,0.0,DL,1.2191119585293566,0.0,0.0,0.0125,0.0,DL,0.5,3,0.4,0.0,0.0,0.0,0.0
size9_comp0.6_grid9_base_low,9,0.6,9,low,base,base,3,6,9,3,3,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,48.0,0.24166666666666667,0.24166666666666667,0.0,0.0,1.044409110070929,0.42857142857142855,0.7216952954847196,1.044409110070929,0.42857142857142855,0.7216952954847196,0.0,0.0,0.0,0.6504856751284842,0.24166666666666667,480,2.0,0.1,31.1,14.8,23.3,1.7,2.1,19.9,42.2,11.4,0.0,21.4,0.0,1.0,0.0,0.0,UR,0.0,0.0,0.22916666666666666,0.0,0.0,UR,3.9,9,0.0,0.0,0.0,0.0,0.0
