grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,medium,10,0.22000000000000003,0.10832051206181281,0.16,0.07916228058025278,0.75,0.1056724498943157,0.5781990659627814,0.06772467733543562,0.5890965916650719,0.2535475394171046,0.08127254126649598,0.045808770075012814,0.6734789687073208,0.18113616182067271,0.6103519088044556,0.23762379775711975,0.40630319357796757,0.12169588130621652,0.14789003031735587,3.8,1.9,1.9100000000000001,1.7100000000000002,3.5799999999999996,2.46,2.3,1.5699999999999998,2.3,1.8800000000000001,4.61,1.7400000000000002,0.51
7,0.2,medium,10,0.03,0.030000000000000002,0.03,0.030000000000000002,0.9199999999999999,0.04163331998932266,0.3978081844716907,0.02315490385558196,0.39777544588927133,0.05384615384615384,0.014777777777777779,0.014777777777777779,0.8047204450599243,0.18165009450633252,0.8157716872383787,0.07248747399889836,0.5731259432173594,0.01949350029716682,0.1854708672804069,4.2,2.3,1.8399999999999999,1.4,3.11,3.4200000000000004,2.56,1.52,1.94,2.15,5.1,1.94,0.01
7,0.4,medium,10,0.06999999999999999,0.0334995854037363,0.04,0.030550504633038936,0.9199999999999999,0.03265986323710905,0.40714179069615347,0.039990202662436455,0.41363782656985865,0.1601159951159951,0.01402644456992283,0.009514943497560683,0.8742336817003041,0.24980301795538207,0.8265780624737286,0.3627299549008721,0.4683165436812561,0.15476343311366175,0.1972896840697806,4.6,2.6,2.12,2.1900000000000004,3.3600000000000003,2.8899999999999997,2.85,2.1399999999999997,2.18,1.73,5.659999999999999,1.3199999999999998,0.45
7,0.6,medium,10,0.0,0.0,0.0,0.0,0.99,0.010000000000000004,0.3849838315517056,0.06364653722762048,0.3849838315517056,0.0,0.0,0.0,0.7649727569609504,0.1713884226580854,0.7649727569609504,0.0,0.5488075271769669,0.0,0.1879023680346324,4.5,3.2,1.67,1.16,3.84,1.98,2.5100000000000002,1.7399999999999998,1.35,1.41,4.3100000000000005,1.1400000000000001,0.0
9,0.0,medium,10,0.16,0.07916228058025279,0.15,0.07031674369909661,0.77,0.09666666666666669,0.5050906407450194,0.02935364398787121,0.4870553364953638,0.40353980986333926,0.07911108734768195,0.038691714449883126,0.8399643203599195,0.2405306732145746,0.8364058844126214,0.19940886171237576,0.45769777126037187,0.09639216438244735,0.17390166913268945,5.2,1.9,1.59,2.95,5.45,5.64,5.14,2.52,2.17,4.78,7.33,4.62,0.15
9,0.2,medium,10,0.18,0.10088497300281038,0.11000000000000001,0.09938701010583717,0.41,0.14564034849968985,0.4396005135177991,0.06187670643778138,0.45613203387265183,0.16545158628278012,0.035252800083003646,0.0332370839342912,0.8902371155793851,0.350536654387989,0.8881615440586691,0.2691067224078087,0.48081188212085824,0.18557793328208483,0.17060462841620883,4.4,3.8,2.46,2.8,11.739999999999998,13.15,10.18,3.46,4.2,10.94,21.91,9.75,0.4
9,0.4,medium,10,0.13999999999999999,0.0669991708074726,0.02,0.013333333333333334,0.42000000000000004,0.13888444437333106,0.40434144189586874,0.06980730558084502,0.42676908602748104,0.12210486415425066,0.006506456241032998,0.0044201654383555534,0.844694145300716,0.3585555388905131,0.8630333032779232,0.24145543345625864,0.44990514923901703,0.20259099210992262,0.19213357480207088,5.0,3.8,2.4,2.85,12.48,14.059999999999999,12.53,3.5,4.24,10.42,24.61,7.9799999999999995,1.7899999999999998
9,0.6,medium,10,0.21000000000000002,0.09712534856222309,0.04,0.04,0.2,0.09660917830792959,0.27962364438468096,0.03189740475130693,0.2895541969656962,0.1195809788225527,0.01452869710934227,0.014528697109342268,1.0653229219239957,0.4819598130138309,1.0495010283611066,0.3706645100552953,0.4799875306277279,0.2078059062348933,0.34362676748128973,6.1,4.4,3.9799999999999995,3.0900000000000003,22.16,12.629999999999999,17.79,4.89,4.71,13.05,33.730000000000004,8.459999999999999,1.6299999999999997
