trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations
1,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,2,43,0.23255813953488372,0.32558139534883723,1.0,0.275,6,8,2,27,21,10,6,5,33,1,0
2,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,3,39,0.2564102564102564,0.41025641025641024,0.75,0.37142857142857144,6,7,4,22,15,11,8,4,25,3,0
3,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,12,31,0.3225806451612903,0.3548387096774194,0.3076923076923077,0.3888888888888889,4,4,8,15,18,4,8,0,20,0,0
4,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,11,24,0.4166666666666667,0.4166666666666667,0.25,0.5833333333333334,3,4,10,7,12,4,7,0,14,0,0
5,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,10,21,0.47619047619047616,0.5238095238095238,0.36363636363636365,0.7,4,5,6,6,8,4,8,0,10,0,0
6,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,5,22,0.45454545454545453,0.5,0.6666666666666666,0.4375,3,3,2,14,11,4,5,1,11,1,1
7,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,3,15,0.6666666666666666,0.6666666666666666,0.75,0.6363636363636364,3,3,1,8,6,3,5,0,5,0,0
8,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,9,27,0.37037037037037035,0.37037037037037035,0.3,0.4117647058823529,3,4,5,15,14,4,7,1,17,0,0
9,3,size7_comp0.2_grid3_base_low,7,0.2,low,base,3,7,10,6,2,1,1,4,14,0.7142857142857143,0.7142857142857143,0.6,0.7777777777777778,3,3,2,6,10,0,3,0,4,0,0
0,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,2,7,0.8571428571428571,0.8571428571428571,1.0,0.75,0,2,0,5,3,1,2,0,1,0,0
1,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,7,11,0.5454545454545454,0.6363636363636364,0.5,1.0,1,6,0,4,5,3,2,0,3,0,0
2,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,5,9,0.6666666666666666,0.6666666666666666,0.5,1.0,0,2,0,7,6,1,1,0,3,0,0
3,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,2,6,1.0,1.0,1.0,1.0,0,2,0,4,1,2,2,0,0,0,0
4,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,7,11,0.5454545454545454,0.6363636363636364,0.5,1.0,1,6,0,4,6,1,2,1,4,0,0
5,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,2,7,0.8571428571428571,0.8571428571428571,1.0,0.75,0,2,0,5,3,1,2,0,1,0,0
6,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,4,8,0.75,0.75,0.6,1.0,1,2,0,5,2,2,3,0,2,0,0
7,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,4,8,0.75,0.875,0.8,1.0,1,3,0,4,1,2,3,1,1,1,0
8,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,7,11,0.5454545454545454,0.7272727272727273,0.625,1.0,2,4,1,4,3,2,4,1,1,0,0
9,4,size7_comp0.2_grid4_base_low,7,0.2,low,base,3,3,6,6,0,1,1,16,20,0.3,0.6,0.5294117647058824,1.0,2,6,4,8,5,3,6,5,11,5,0
