grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.4_grid1_base_low,11,0.4,1,low,base,base,11,5,16,6,5,1,1,1,10,0,0,2,0.0,0.0,0.2,0.0,55.6,0.26798561151079137,0.26798561151079137,0.0,0.0,0.5817701845503668,0.75,0.4443162080757444,0.5817701845503668,0.4443162080757444,0.0,0.0,0.1601431954373131,0.26798561151079137,556,0.0,0.5,12.5,42.6,33.5,0.5,0.2,20.4,51.3,13.2,0.0,28.8
size11_comp0.4_grid2_base_low,11,0.4,2,low,base,base,14,4,18,12,4,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.290625,0.290625,0.0,0.0,0.8023387255180935,0.5142857142857142,0.5359127132288741,0.8023387255180935,0.5336116912752676,0.0,0.0,0.3516821700452192,0.290625,640,5.1,0.0,15.6,43.3,35.6,3.4,4.7,19.3,54.8,13.2,0.0,32.6
size11_comp0.4_grid3_base_low,11,0.4,3,low,base,base,3,7,10,10,0,1,1,1,10,10,0,0,1.0,0.0,0.0,0.0,64.0,0.403125,0.4473684210526316,0.3935361216730038,0.0,0.9591978897324817,0.5,0.4628936730925031,0.8329202116220981,0.3567458950401126,0.8088551639207882,0.5296162256521337,0.3211487904469053,0.403125,640,2.3,7.5,24.2,30.0,24.1,9.8,7.2,21.9,46.7,19.0,0.3,14.3
size11_comp0.4_grid4_base_low,11,0.4,4,low,base,base,7,7,14,12,1,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5,0.5,0.0,0.0,0.6283571331593587,0.6923076923076923,0.581857303258684,0.6283571331593587,0.37845769633289117,0.0,0.0,0.3422495848686531,0.5,640,0.0,1.8,31.0,31.2,20.4,1.4,1.9,39.3,54.5,38.0,0.0,1.0
size11_comp0.4_grid5_base_low,11,0.4,5,low,base,base,7,7,14,4,5,1,1,1,10,0,0,9,0.0,0.0,0.9,0.0,16.8,0.4166666666666667,0.4166666666666667,0.0,0.0,0.590445088117059,0.2857142857142857,0.21552849343375827,0.590445088117059,0.4941407465593444,0.0,0.0,0.17591834479149748,0.4166666666666667,168,0.0,0.9,5.1,10.8,6.8,0.6,0.8,7.6,12.3,6.5,0.0,2.7
size11_comp0.4_grid6_base_low,11,0.4,6,low,base,base,4,8,12,4,4,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.24375,0.24375,0.0,0.0,0.8031160114758482,0.5454545454545454,0.47596971770863417,0.8031160114758482,0.6372718197739522,0.0,0.0,0.30538936095914326,0.24375,640,3.0,0.6,21.7,38.7,26.6,3.4,3.1,29.9,57.0,18.3,0.0,31.4
size11_comp0.4_grid7_base_low,11,0.4,7,low,base,base,7,3,10,10,0,1,1,1,10,2,2,5,0.2,0.2,0.5,0.2,40.8,0.4411764705882353,0.43147208121827413,0.7142857142857143,0.06644880174291938,0.7787431211045163,0.4245300781475361,0.3026925053365129,0.793817899500089,0.4184258702343749,0.5443856189774724,0.14611755901277315,0.11254814756712317,0.4411764705882353,408,0.4,6.9,13.3,20.2,15.2,5.4,5.3,13.9,26.5,11.6,0.6,8.8
size11_comp0.4_grid8_base_low,11,0.4,8,low,base,base,7,7,14,4,5,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,13.0,0.4461538461538462,0.4461538461538462,0.0,0.0,0.8533749663958288,0.35,0.29622695264337084,0.8533749663958288,0.4114589018458359,0.0,0.0,0.18978063603063602,0.4461538461538462,130,2.8,0.0,6.0,4.2,4.4,1.9,2.2,3.5,5.5,3.1,0.0,1.4
size11_comp0.4_grid9_base_low,11,0.4,9,low,base,base,10,7,17,7,6,1,1,1,10,0,0,0,0.0,0.0,0.0,0.0,64.0,0.5421875,0.5421875,0.0,0.0,0.3303229349285394,0.5555555555555556,0.49846161708559017,0.3303229349285394,0.19160577581169247,0.0,0.0,0.42148760955969194,0.5421875,640,0.0,0.0,28.8,35.2,24.4,0.0,0.0,38.6,55.0,37.7,0.0,0.5
size11_comp0.6_grid0_base_low,11,0.6,0,low,base,base,7,9,16,4,6,1,1,1,10,0,0,3,0.0,0.0,0.3,0.0,49.8,0.3293172690763052,0.3293172690763052,0.0,0.0,0.7114903877082942,0.465413541726763,0.44604644310464053,0.7114903877082942,0.4948543178069062,0.0,0.0,0.2037340768403439,0.3293172690763052,498,1.4,0.5,22.5,25.4,21.6,1.7,1.9,23.6,43.6,18.6,0.0,17.0
