grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size7_comp0.0_grid9_base_low,7,0.0,9,low,base,base,4,3,7,3,2,1,1,1,10,2,2,8,0.2,0.2,0.8,0.2,9.8,0.5816326530612245,0.5568181818181818,0.8,0.09759615384615385,0.8171226162443266,0.4444444444444444,0.15296158910042415,0.8916294217500865,0.39407184177163224,0.5006516669551291,0.24231906884900356,0.25874619207952543,0.5816326530612245,98,0.1,2.1,3.2,4.0,1.6,1.2,1.6,3.6,4.9,3.5,0.3,0.2
size7_comp0.2_grid0_base_low,7,0.2,0,low,base,base,5,4,9,3,4,1,1,1,10,9,0,0,0.9,0.0,0.0,0.0,32.0,0.40625,0.4326241134751773,0.3854748603351955,0.0,0.9593944436318026,0.6,0.5764617796686472,0.9717397432020444,0.32307296430507265,0.9302569546989452,0.5656077534655145,0.2978241503903659,0.40625,320,3.9,1.7,14.8,8.9,8.9,4.0,4.5,8.5,23.0,6.8,7.3,7.3
size7_comp0.2_grid1_base_low,7,0.2,1,low,base,base,3,4,7,5,1,1,1,1,10,10,0,0,1.0,0.0,0.0,0.0,32.0,0.38125,0.6263736263736264,0.2838427947598253,0.0,1.015280223862119,0.465413541726763,0.5580642541231297,1.0137399174723403,0.30970861137876854,0.7070867093248997,0.5496693489763972,0.28346245082487964,0.38125,320,2.1,2.1,7.6,14.2,7.6,2.2,3.8,8.2,23.4,7.1,7.9,6.2
size7_comp0.2_grid2_base_low,7,0.2,2,low,base,base,4,5,9,5,2,1,1,1,10,9,4,1,0.9,0.4,0.1,0.4,26.2,0.5267175572519084,0.7857142857142857,0.4563106796116505,0.17236842105263156,1.0778936686069884,0.47799500009615414,0.37267704988434036,0.7292855086481237,0.31740932908469094,1.0444845115407253,0.38036344119940557,0.31249221097795576,0.5267175572519084,262,4.2,2.6,11.2,7.3,5.6,4.4,4.5,8.9,16.7,7.2,2.6,4.0
size7_comp0.2_grid3_base_low,7,0.2,3,low,base,base,4,3,7,3,2,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.1,0.6451612903225806,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.5408520829727552,0.0,0.0,0.0,0.6451612903225806,31,0.0,0.0,3.0,0.0,1.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
size7_comp0.2_grid4_base_low,7,0.2,4,low,base,base,4,3,7,5,1,1,1,1,10,0,0,2,0.0,0.0,0.2,0.0,29.6,0.19256756756756757,0.19256756756756757,0.0,0.0,1.1123421261709776,0.16666666666666666,0.49779575662946035,1.1123421261709776,0.6856358421564036,0.0,0.0,0.4722127918694193,0.19256756756756757,296,4.0,3.5,2.9,17.1,10.9,3.6,5.2,4.9,25.8,3.5,0.0,16.3
size7_comp0.2_grid5_base_low,7,0.2,5,low,base,base,4,4,8,4,2,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,13.2,0.7727272727272727,0.9166666666666666,0.6904761904761905,0.7017083275147791,0.6267276365333052,0.5384615384615384,0.3178342474305724,0.6092729696828398,0.05431942945606546,0.6633203719616907,0.2586192078984908,0.10961845172371489,0.7727272727272727,132,3.4,0.4,4.0,4.8,3.4,1.4,3.1,3.2,4.7,3.2,2.5,0.2
size7_comp0.2_grid6_base_low,7,0.2,6,low,base,base,7,4,11,3,4,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31127812445913283,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size7_comp0.2_grid7_base_low,7,0.2,7,low,base,base,3,4,7,5,1,1,1,1,10,2,0,0,0.2,0.0,0.0,0.0,32.0,0.440625,0.4782608695652174,0.20454545454545456,0.0,0.9976968628826323,0.5446616667628208,0.44493546558069874,1.0484979905038598,0.3274163438939359,0.8138344899377886,0.5684577021641443,0.3404771736200307,0.440625,320,5.2,2.8,12.2,11.3,8.1,5.0,4.4,12.5,22.3,10.5,0.1,3.8
size7_comp0.2_grid8_base_low,7,0.2,8,low,base,base,5,4,9,3,3,1,1,1,10,0,0,10,0.0,0.0,1.0,0.0,13.7,0.35766423357664234,0.35766423357664234,0.0,0.0,0.9053565448320587,0.4444444444444444,0.29459543443529124,0.9053565448320587,0.527940204921214,0.0,0.0,0.10427599724837898,0.35766423357664234,137,0.3,3.5,5.6,2.9,4.0,1.7,2.2,2.2,8.4,1.7,0.0,3.5
