trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
2,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,25,0.68,0.84,0.8888888888888888,0.8125,3,6,8,8,12,5,4,3,8,3,1,0,0.0,UL,0.9656361333706098,14,9,0,0,2,0.6086956521739131,0.391304347826087,0.0,0.0,0.08,UL,0.16,0.04,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
3,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,28,0.6071428571428571,0.75,0.8888888888888888,0.6842105263157895,4,5,9,9,13,6,4,2,9,2,0,2,0.07142857142857142,UL,0.9760206482366149,13,9,0,0,6,0.5909090909090909,0.4090909090909091,0.0,0.0,0.21428571428571427,UR,0.03571428571428571,0.10714285714285714,0.0,0.0,3,ul,midline,ur,1,0,0,0,0
4,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,6,17,1.0,1.0,1.0,1.0,0,3,7,7,14,1,0,1,7,1,1,0,0.0,UL,0.9182958340544896,10,5,0,0,2,0.6666666666666666,0.3333333333333333,0.0,0.0,0.11764705882352941,UL,0.23529411764705882,0.058823529411764705,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
5,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,21,0.8095238095238095,0.9047619047619048,0.8888888888888888,0.9166666666666666,2,5,7,7,9,6,3,2,8,2,1,0,0.0,UL,0.8524051786494786,13,5,0,0,3,0.7222222222222222,0.2777777777777778,0.0,0.0,0.14285714285714285,UL,0.14285714285714285,0.047619047619047616,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
6,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,12,31,0.5483870967741935,0.7741935483870968,0.7692307692307693,0.7777777777777778,5,8,9,9,12,6,5,7,12,7,1,0,0.0,UL,0.9949848281859701,13,11,0,0,7,0.5416666666666666,0.4583333333333333,0.0,0.0,0.22580645161290322,UL,0.06451612903225806,0.03225806451612903,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
7,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,14,27,0.6296296296296297,0.8148148148148148,0.7333333333333333,0.9166666666666666,5,8,7,7,11,2,8,5,12,5,1,0,0.0,UL,0.9986359641585718,12,11,0,0,4,0.5217391304347826,0.4782608695652174,0.0,0.0,0.14814814814814814,UL,0.18518518518518517,0.037037037037037035,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
8,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,21,0.8095238095238095,0.9047619047619048,0.8888888888888888,0.9166666666666666,1,4,8,8,11,2,3,4,4,4,1,0,0.0,UL,0.9494520153879484,12,7,0,0,2,0.631578947368421,0.3684210526315789,0.0,0.0,0.09523809523809523,UL,0.14285714285714285,0.047619047619047616,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
9,1,size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,7,10,17,3,7,1,1,1,1,1,8,25,0.68,0.84,0.8888888888888888,0.8125,2,5,9,9,11,3,4,6,8,6,1,0,0.0,UL,0.828055725379504,17,6,0,0,2,0.7391304347826086,0.2608695652173913,0.0,0.0,0.08,UL,0.08,0.04,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
0,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,24,0.5833333333333334,0.75,1.0,0.7,4,6,8,6,12,4,4,3,9,2,1,2,0.08333333333333333,UL,0.8524051786494786,13,5,0,0,6,0.7222222222222222,0.2777777777777778,0.0,0.0,0.25,UL,0.08333333333333333,0.041666666666666664,0.0,0.0,2,ul,midline,ur,1,0,0,0,0
1,2,size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,4,10,14,6,4,1,1,1,1,1,3,17,0.8235294117647058,0.8823529411764706,1.0,0.8461538461538461,1,4,7,5,7,3,3,3,7,3,1,1,0.058823529411764705,UL,0.9852281360342515,8,6,0,0,3,0.5714285714285714,0.42857142857142855,0.0,0.0,0.17647058823529413,UR,0.0,0.058823529411764705,0.0,0.0,1,ul,midline,ur,1,0,0,0,0
