grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size11_comp0.6_grid9_base_random,11,0.6,9,random,base,base,8,10,18,10,6,1,1,1,10,2,0,0,0.2,0.0,0.0,0.0,64.0,0.3078125,0.3094405594405594,0.29411764705882354,0.0,1.5786130077321727,0.21739130434782608,0.5261800489718017,1.5642980325329927,0.46146115074300476,1.021402883988425,0.5296284661346093,0.1565569113693532,0.3078125,640,16.2,16.8,15.5,15.5,15.5,15.0,17.2,15.3,49.0,8.0,1.6,26.8
size7_comp0.0_grid0_base_random,7,0.0,0,random,base,base,3,5,8,4,2,1,1,1,10,4,1,2,0.4,0.1,0.2,0.1,28.2,0.4397163120567376,0.42857142857142855,0.4722222222222222,0.03076923076923077,1.6154315181646277,0.6666666666666666,0.4309843381213787,1.360583326593668,0.4572960739172136,1.238505855176367,0.4853549888967701,0.19048773634203203,0.4397163120567376,282,7.3,6.3,7.4,7.2,6.1,7.0,6.9,7.2,17.8,5.4,0.5,5.1
size7_comp0.0_grid1_base_random,7,0.0,1,random,base,base,4,4,8,4,2,1,1,1,10,4,1,3,0.4,0.1,0.3,0.1,26.2,0.4198473282442748,0.44324324324324327,0.36363636363636365,0.026666666666666665,1.7883275203696325,0.6666666666666666,0.4335458338945799,1.5775413604286894,0.45438410663500123,1.0957083636750136,0.47574262203059375,0.17631899350649355,0.4198473282442748,262,6.2,7.5,6.1,6.4,7.1,6.1,6.4,5.6,15.7,3.3,1.2,6.0
size7_comp0.0_grid2_base_random,7,0.0,2,random,base,base,5,3,8,6,1,1,1,1,10,3,1,2,0.3,0.1,0.2,0.1,29.2,0.4486301369863014,0.46153846153846156,0.37777777777777777,0.02857142857142857,1.6261728897916692,0.6666666666666666,0.3858131372780195,1.619500422633502,0.3934228325797208,0.9748478423262937,0.5759679974011227,0.17368633741989012,0.4486301369863014,292,7.2,8.1,6.2,7.7,6.7,7.5,6.4,7.6,17.2,5.7,0.7,5.0
size7_comp0.0_grid3_base_random,7,0.0,3,random,base,base,5,3,8,4,2,1,1,1,10,5,1,3,0.5,0.1,0.3,0.1,26.1,0.4789272030651341,0.4975369458128079,0.41379310344827586,0.029629629629629627,1.7162633657407618,0.6666666666666666,0.4136022327324169,1.4558075068780456,0.3368105649891598,1.0807657640627752,0.46541745986960414,0.17102467362884027,0.4789272030651341,261,6.8,5.8,6.0,7.5,7.2,6.1,6.2,5.6,14.8,3.9,0.4,5.2
size7_comp0.0_grid4_base_random,7,0.0,4,random,base,base,6,4,10,4,3,1,1,1,10,1,0,7,0.1,0.0,0.7,0.0,24.4,0.4262295081967213,0.42916666666666664,0.25,0.0,1.4220180008095378,0.65,0.36076404605721535,1.4541622048279799,0.4580369768144909,0.8112781244591328,0.6556390622295665,0.12485189930842103,0.4262295081967213,244,6.0,5.9,5.6,6.9,6.4,5.3,5.2,6.5,14.8,5.1,0.3,6.1
size7_comp0.0_grid5_base_random,7,0.0,5,random,base,base,6,4,10,4,3,1,1,1,10,2,0,4,0.2,0.0,0.4,0.0,28.7,0.4529616724738676,0.4600760456273764,0.375,0.0,1.648951050230185,0.6956521739130435,0.392147756857503,1.5724243642181648,0.4122097760420949,0.5367111469779674,0.5722608656592376,0.1328578077147871,0.4529616724738676,287,7.4,7.4,7.5,6.4,6.8,7.2,6.9,6.8,16.4,5.0,0.3,5.5
size7_comp0.0_grid6_base_random,7,0.0,6,random,base,base,6,3,9,5,2,1,1,1,10,2,0,1,0.2,0.0,0.1,0.0,29.7,0.4511784511784512,0.45454545454545453,0.42424242424242425,0.0,1.6987623282142719,0.6666666666666666,0.45043406717457385,1.6295643937705362,0.4099796166497166,0.7193609377704336,0.4932606542068528,0.24859383772427252,0.4511784511784512,297,8.5,7.6,6.9,6.7,8.5,7.5,6.4,6.3,17.2,4.6,0.6,6.1
size7_comp0.0_grid7_base_random,7,0.0,7,random,base,base,4,5,9,3,3,1,1,1,10,2,0,5,0.2,0.0,0.5,0.0,25.5,0.3607843137254902,0.3516949152542373,0.47368421052631576,0.0,1.3806324084455888,0.6666666666666666,0.46550029361886747,1.2178084319152027,0.6072129206787559,0.792481250360578,0.5440899754633687,0.20911371808005175,0.3607843137254902,255,5.2,7.3,5.7,7.3,6.7,6.6,7.0,4.2,15.9,3.4,0.1,7.7
size7_comp0.0_grid8_base_random,7,0.0,8,random,base,base,3,5,8,4,2,1,1,1,10,2,0,5,0.2,0.0,0.5,0.0,24.3,0.3786008230452675,0.3880597014925373,0.3333333333333333,0.0,1.6025498740537794,0.6666666666666666,0.4323318731486508,1.5622906634619356,0.4432723647808208,0.8203302896103907,0.6358658486592245,0.17146120491708725,0.3786008230452675,243,6.0,6.7,5.5,6.1,7.1,6.0,4.5,5.7,14.5,4.0,0.7,5.4
size7_comp0.0_grid9_base_random,7,0.0,9,random,base,base,5,4,9,3,3,1,1,1,10,3,1,6,0.3,0.1,0.6,0.1,21.6,0.4722222222222222,0.48484848484848486,0.43137254901960786,0.052941176470588235,1.6624996684261575,0.6666666666666666,0.3866846954495252,1.5689400961842759,0.4013093989499438,0.8998313242805855,0.5030352141861805,0.21300319702575343,0.4722222222222222,216,4.5,4.9,7.2,5.0,4.6,5.1,6.4,4.5,12.9,3.7,2.7,4.0
size7_comp0.2_grid0_base_random,7,0.2,0,random,base,base,3,4,7,3,2,1,1,1,10,5,0,1,0.5,0.0,0.1,0.0,29.2,0.386986301369863,0.39408866995073893,0.3707865168539326,0.0,1.685193435105772,0.4213868055956198,0.5161911774165732,1.4772645889851863,0.4710733880666941,1.256406208346156,0.6059275869047891,0.17669657077858303,0.386986301369863,292,6.6,8.8,7.1,6.7,6.3,8.0,6.2,7.7,20.5,5.3,1.5,7.7
size7_comp0.2_grid1_base_random,7,0.2,1,random,base,base,4,4,8,4,2,1,1,1,10,1,0,4,0.1,0.0,0.4,0.0,25.9,0.3861003861003861,0.3975409836065574,0.2,0.0,1.6677106391359888,0.47619047619047616,0.44116068184036306,1.5865910013112767,0.43285352458441695,1.1768855656409118,0.711628391712669,0.09845050521742248,0.3861003861003861,259,6.0,7.8,5.4,6.7,6.4,6.5,5.7,6.3,16.2,4.9,0.4,7.1
size7_comp0.2_grid2_base_random,7,0.2,2,random,base,base,3,4,7,5,2,1,1,1,10,3,0,1,0.3,0.0,0.1,0.0,31.0,0.3419354838709677,0.3472803347280335,0.323943661971831,0.0,1.63852414945415,0.45,0.5509565780063439,1.5076315820032358,0.44149659216695186,0.8482437248792508,0.639075599913592,0.21753475906367692,0.3419354838709677,310,7.1,7.7,7.6,8.6,7.6,8.6,6.3,7.5,22.2,5.3,1.3,10.0
size7_comp0.2_grid3_base_random,7,0.2,3,random,base,base,7,5,12,4,5,1,1,1,10,0,0,5,0.0,0.0,0.5,0.0,22.5,0.38666666666666666,0.38666666666666666,0.0,0.0,1.3453422919342526,0.5263157894736842,0.48365962852094846,1.3453422919342526,0.5285314615867358,0.0,0.0,0.1165050349260875,0.38666666666666666,225,5.6,4.7,5.5,6.7,5.4,4.5,6.4,5.2,15.2,3.7,0.0,7.0
size7_comp0.2_grid4_base_random,7,0.2,4,random,base,base,5,4,9,3,3,1,1,1,10,1,0,3,0.1,0.0,0.3,0.0,27.9,0.43010752688172044,0.4296028880866426,0.5,0.0,1.2986322623111892,0.5,0.5076716659057764,1.3643625684186511,0.4831899210682067,0.0,0.5,0.0998952186165992,0.43010752688172044,279,5.7,7.0,7.3,7.9,6.0,6.6,7.4,6.9,17.9,6.3,0.1,5.2
size7_comp0.2_grid5_base_random,7,0.2,5,random,base,base,5,6,11,5,3,1,1,1,10,1,0,6,0.1,0.0,0.6,0.0,25.0,0.388,0.39669421487603307,0.125,0.0,1.593372237990343,0.5,0.4177449133841057,1.5565275126670417,0.5346577685667354,0.7244078178625923,0.877181418596829,0.1028451940216646,0.388,250,6.0,7.2,5.8,6.0,5.4,6.4,5.7,6.5,15.8,4.9,0.6,5.2
