trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
0,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,5,0,0,1,4,0,1,0,0,0,0,0,0.0,UR,0.9709505944546686,0,3,0,2,1,0.0,0.6,0.0,0.4,0.16666666666666666,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
1,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,6,10,0.8,0.9,0.8571428571428571,1.0,5,0,2,3,3,1,4,1,1,1,0,0,0.0,UR,0.8112781244591328,0,3,0,1,6,0.0,0.75,0.0,0.25,0.6,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
2,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,16,0.0,0.5625,0.5625,0.0,6,1,4,5,3,5,7,0,0,0,0,0,0.0,UL,1.7609640474436812,5,2,2,1,6,0.5,0.2,0.2,0.1,0.375,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
3,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,4,12,0.6666666666666666,0.8333333333333334,1.0,0.7142857142857143,5,0,3,4,6,1,2,2,3,2,2,0,0.0,UR,0.8112781244591328,0,6,0,2,4,0.0,0.75,0.0,0.25,0.3333333333333333,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
4,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,8,0.0,0.625,0.625,0.0,5,0,1,2,3,2,1,1,1,1,0,0,0.0,UR,0.9709505944546686,0,3,0,2,3,0.0,0.6,0.0,0.4,0.375,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
5,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,8,16,0.5,0.75,0.7777777777777778,0.7142857142857143,5,0,5,6,4,5,0,6,6,6,5,0,0.0,UR,0.8453509366224364,0,8,0,3,5,0.0,0.7272727272727273,0.0,0.2727272727272727,0.3125,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
6,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,22,0.0,0.5,0.5,0.0,9,2,5,6,8,4,6,3,4,2,0,2,0.09090909090909091,UR,1.5683182557028439,5,10,2,1,4,0.2777777777777778,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.18181818181818182,UR,0.0,0.2727272727272727,0.0,0.0,6,dr,ur,midline,0,0,0,0,0
7,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,36,0.0,0.3333333333333333,0.3333333333333333,0.0,20,1,7,8,17,10,7,1,22,1,0,14,0.3888888888888889,UR,0.9698024945677542,3,26,2,1,4,0.09375,0.8125,0.0625,0.03125,0.1111111111111111,UR,0.0,0.5555555555555556,0.0,0.0,11,dr,ur,midline,0,0,0,0,0
8,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,1,6,14,0.5714285714285714,0.7857142857142857,0.8571428571428571,0.7142857142857143,5,0,4,5,3,2,4,4,4,4,4,0,0.0,UR,0.863120568566631,0,5,0,2,7,0.0,0.7142857142857143,0.0,0.2857142857142857,0.5,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
9,0,size11_comp0.0_grid0_base_low,11,0.0,low,base,base,5,3,8,6,1,1,1,1,1,0,-1,14,0.0,0.5714285714285714,0.5714285714285714,0.0,5,0,4,5,4,3,3,3,3,3,0,0,0.0,UL,0.9864267287308425,7,1,0,1,5,0.7777777777777778,0.1111111111111111,0.0,0.1111111111111111,0.35714285714285715,,0.0,0.0,0.0,0.0,0,dr,ur,midline,0,0,0,0,0
0,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.109375,0.109375,0.0,46,3,4,11,40,11,9,3,51,2,0,43,0.671875,UR,-0.0,0,61,0,0,3,0.0,1.0,0.0,0.0,0.046875,UR,0.0,0.734375,0.0,0.0,39,midline,dl,midline,0,0,0,0,0
1,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.125,0.125,0.0,45,3,5,11,37,12,7,7,53,6,0,41,0.640625,UR,0.11911602665564835,1,61,0,0,2,0.016129032258064516,0.9838709677419355,0.0,0.0,0.03125,UR,0.0,0.875,0.0,0.0,38,midline,dl,midline,0,0,0,0,0
2,1,size11_comp0.0_grid1_base_low,11,0.0,low,base,base,3,4,7,7,0,1,1,1,0,0,-1,64,0.0,0.125,0.125,0.0,37,1,7,19,28,20,12,3,50,3,0,41,0.640625,UR,0.21639693245126462,2,56,0,0,6,0.034482758620689655,0.9655172413793104,0.0,0.0,0.09375,UR,0.0,0.828125,0.0,0.0,53,midline,dl,midline,0,0,0,0,0
