grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,num_trajectories,num_coin_collected,num_goal_after_coin,num_goal_only,coin_collected_rate,goal_after_coin_rate,goal_only_rate,full_success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,spl,mean_entropy,mean_optimal_entropy,mean_jsd,mean_entropy_phase1,mean_jsd_phase1,mean_entropy_phase2,mean_jsd_phase2,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
size9_comp0.4_grid1_walls1_low,9,0.4,1,low,walls1,reshuffled_walls,7,7,14,4,6,1,1,1,2,2,1,0,1.0,0.5,0.0,0.5,42.0,0.5833333333333334,0.6086956521739131,0.5526315789473685,0.19444444444444445,1.0198257825163843,0.4213868055956198,0.3860212134092498,0.5999561901977019,0.3403518619334971,0.7858977154386383,0.32050520792473236,0.21338183421516754,0.5833333333333334,84,10.5,14.0,8.5,9.0,12.5,10.0,7.5,11.0,28.0,10.0,2.0,4.5
size9_comp0.4_grid2_RandomStart_5_2_low,9,0.4,2,low,RandomStart_5_2,random_starts,5,4,9,1,4,1,1,1,3,0,0,3,0.0,0.0,1.0,0.0,12.333333333333334,0.35135135135135137,0.35135135135135137,0.0,0.0,1.1745564067853018,0.2,0.3720645300910034,1.1745564067853018,0.4343201549828299,0.0,0.0,0.16363636363636364,0.35135135135135137,37,3.6666666666666665,2.3333333333333335,2.0,4.333333333333333,4.666666666666667,3.0,1.6666666666666667,2.0,9.333333333333334,1.6666666666666667,0.0,4.666666666666667
size9_comp0.4_grid2_RandomStart_7_3_low,9,0.4,2,low,RandomStart_7_3,random_starts,6,4,10,2,4,1,1,1,2,1,1,1,0.5,0.5,0.5,0.5,11.5,0.6956521739130435,0.6666666666666666,0.8,0.45454545454545453,0.9312306679905118,0.4444444444444444,0.31723322720527986,0.7687251445592296,0.25750442553900654,0.25,0.125,0.15555555555555553,0.6956521739130435,23,3.0,2.5,4.0,2.0,2.5,2.0,3.5,2.5,5.5,1.5,1.0,1.5
size9_comp0.4_grid2_ReflectEnv_low,9,0.4,2,low,ReflectEnv,reflect,3,4,7,3,3,1,1,1,10,10,10,0,1.0,1.0,0.0,1.0,15.5,0.6451612903225806,0.6065573770491803,0.6702127659574468,0.5296366999723777,1.0987418252760857,0.35714285714285715,0.3377334174182529,0.848608556671987,0.21617516647648174,0.9432806460264539,0.1978361414840793,0.1670338589981447,0.6451612903225806,155,4.5,4.5,4.7,1.8,2.9,3.8,4.7,3.1,6.2,2.7,0.5,2.5
size9_comp0.4_grid2_RotateEnv_low,9,0.4,2,low,RotateEnv,rotate,3,4,7,3,3,1,1,1,10,6,2,1,0.6,0.2,0.1,0.2,40.4,0.3316831683168317,0.41596638655462187,0.21084337349397592,0.05959752321981424,1.1165613884992953,0.35714285714285715,0.5316004557476509,1.1287282708222077,0.4180339596360796,0.7869091336448085,0.5741186489004518,0.2948615385845783,0.3316831683168317,404,18.7,8.5,5.7,7.5,16.6,7.0,7.1,8.7,29.7,6.3,0.2,16.2
size9_comp0.4_grid2_StartGoalSwap_low,9,0.4,2,low,StartGoalSwap,start_goal_swap,4,3,7,3,3,1,1,1,10,9,7,0,0.9,0.7,0.0,0.7,29.7,0.43097643097643096,0.47107438016528924,0.4034090909090909,0.2566709585647893,1.0068342925724252,0.34906015629507225,0.44226479670752344,0.8559787243112513,0.4865556927945862,0.8448631553347705,0.3858467436210842,0.09215810346531175,0.43097643097643096,297,12.0,6.5,6.1,5.1,10.1,7.3,5.5,5.8,18.3,4.6,1.3,9.0
size9_comp0.4_grid2_TransposeEnv_low,9,0.4,2,low,TransposeEnv,transpose,3,4,7,3,3,1,1,1,10,10,4,0,1.0,0.4,0.0,0.4,36.6,0.3797814207650273,0.4732142857142857,0.33858267716535434,0.1575071157495256,1.5075766412184353,0.4375,0.48668895997676687,0.9694308501533241,0.32695864887124115,1.3251997041332972,0.4761238593779309,0.3101211237700209,0.3797814207650273,366,12.8,7.3,6.8,9.7,10.4,9.8,7.8,7.6,26.1,6.1,3.6,12.5
size9_comp0.4_grid2_base_low,9,0.4,2,low,base,base,3,4,7,3,3,1,1,1,10,9,9,0,0.9,0.9,0.0,0.9,34.7,0.4610951008645533,0.49122807017543857,0.44635193133047213,0.22460273708722545,1.2242257274076167,0.35,0.41794578849457364,0.8566712205699738,0.3479830063033869,1.0036286620005506,0.4423415719969621,0.2658856337964394,0.4610951008645533,347,8.5,9.4,8.3,8.5,8.8,6.7,9.3,8.9,23.6,7.5,2.5,9.0
size9_comp0.4_grid2_walls0_low,9,0.4,2,low,walls0,reshuffled_walls,3,4,7,5,1,1,1,1,4,4,0,0,1.0,0.0,0.0,0.0,48.0,0.453125,0.5254237288135594,0.42105263157894735,0.0,1.2235835391480967,0.42857142857142855,0.4349383489568971,0.7948505720346474,0.3245124237531465,0.988808926452154,0.5269244891165646,0.19360552301728773,0.453125,192,12.0,13.75,12.25,10.0,8.25,10.75,14.75,13.25,33.0,11.75,1.5,6.25
size9_comp0.4_grid2_walls1_low,9,0.4,2,low,walls1,reshuffled_walls,3,8,11,5,3,1,1,1,5,5,3,0,1.0,0.6,0.0,0.6,39.2,0.5561224489795918,0.8571428571428571,0.52,0.22979526933015304,1.0642648505426138,0.4842821429258244,0.4290581652039746,0.408871260009815,0.11269561295637438,1.0791477554154016,0.3846633234946431,0.12465477644049071,0.5561224489795918,196,12.8,11.2,6.6,8.6,8.4,7.8,8.8,13.2,26.8,12.6,1.8,4.2
