grid_size,density,reasoning_effort,n_grids,mean_coin_collected_rate,se_coin_collected_rate,mean_full_success_rate,se_full_success_rate,mean_goal_only_rate,se_goal_only_rate,mean_action_accuracy,se_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_spl,se_spl,mean_entropy,mean_jsd,mean_entropy_phase1,mean_entropy_phase2,mean_optimal_entropy_phase1,mean_optimal_entropy_phase2,mean_jsd_phase1,mean_jsd_phase2,mean_ece,mean_start_to_goal_distance,mean_coin_detour_distance,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations
7,0.0,low,90,0.8190740740740741,0.029088383871089696,0.5175925925925926,0.03911062264824423,0.058888888888888886,0.017011007998343645,0.48500923790508804,0.014579483012009108,0.5749537364290758,0.4695983526566545,0.2772133622939241,0.022588590024796136,0.7329126017630654,0.3756821496290531,0.7739451185779689,0.6458603184689375,0.5841167263535685,0.5850536018466875,0.3186371488611785,0.4279752437663406,0.1895273912789487,3.7222222222222223,2.2666666666666666,9.601851851851851,4.53037037037037,3.336851851851852,5.429444444444444,9.1,4.511666666666667,4.181666666666667,4.105185185185185,13.783333333333333,3.3812962962962962,1.162962962962963
7,0.2,low,89,0.6857677902621723,0.03456047960865293,0.3925093632958802,0.03428378867933795,0.08820224719101123,0.019798887850231567,0.44170019916108827,0.013888546295302383,0.5238285073150719,0.4690077884412151,0.1989657925398498,0.020199339133733184,0.8343748328615036,0.380177460849557,0.8489115295131722,0.6720809582466207,0.4447186556889226,0.38874492046412895,0.3463216015014413,0.35458763219535944,0.20727665286245295,3.943820224719101,2.337078651685393,9.628277153558052,4.864606741573033,4.050561797752809,6.232397003745318,8.356741573033707,5.194569288389513,5.239513108614232,4.979400749063671,16.324531835205995,3.8140449438202246,1.2284644194756553
7,0.4,low,87,0.5800766283524904,0.03513448731364443,0.2852490421455939,0.0328072914237092,0.15249042145593872,0.027320746216238787,0.408509988229339,0.01134514741065812,0.44896463909848294,0.4280060769444569,0.136860830980832,0.01736148786014922,0.892343554837236,0.37852817224909857,0.9723882975287984,0.6599754049300218,0.2945291952475621,0.28408482010941905,0.3573259277211456,0.3665001606104182,0.20749971688268598,4.7011494252873565,2.8045977011494254,9.305555555555555,4.708045977011494,4.922605363984674,6.4287356321839075,8.812452107279693,5.290038314176245,5.474137931034483,4.78831417624521,17.586206896551722,3.463984674329502,1.764367816091954
7,0.6,low,88,0.6267045454545455,0.03875637325514459,0.2577651515151515,0.030622708336311064,0.08181818181818182,0.021897062216500836,0.36498302188558845,0.011080187513097106,0.4376640396647829,0.35780091508942646,0.11259361451989734,0.01492103069209043,0.955330657360395,0.3896225270251291,1.0028703300358688,0.6900160731270257,0.22225713837412187,0.18498612268985457,0.36607029559303467,0.3309719778635036,0.23109991625750317,4.806818181818182,2.7954545454545454,10.202651515151516,4.846780303030303,6.360984848484848,6.3403409090909095,9.310795454545454,5.974810606060606,5.836174242424243,5.614772727272728,20.360984848484847,4.0613636363636365,1.4106060606060606
9,0.0,low,90,0.6381481481481482,0.03438039678257371,0.2976543209876543,0.032143414106702066,0.1111111111111111,0.0206899979722328,0.4025221477782741,0.017334565582945688,0.4997785537126681,0.42591949183972116,0.15009140600498777,0.01833379904142367,0.7241987032948946,0.44215826723991186,0.7737379234866487,0.5693164482445897,0.6709642310253576,0.6638758351636255,0.398132207109416,0.4236320470685314,0.18642726791174205,4.488888888888889,2.933333333333333,16.718086419753085,6.300802469135802,4.484197530864198,9.255432098765432,15.367283950617285,6.918765432098765,6.98320987654321,6.482592592592593,25.227716049382718,5.332098765432099,0.8258024691358025
9,0.2,low,88,0.5939393939393939,0.035136261989273276,0.3619318181818182,0.03556810021174902,0.10303030303030303,0.02000403683017961,0.40407880171094096,0.013397114532069283,0.43314030072738596,0.4085895945447358,0.14940187582776596,0.015948904459591694,0.8723634966730429,0.44317273386461853,0.9389100494775118,0.6719955625430409,0.555787264695478,0.4403396170223313,0.42150757669003325,0.3893864303414664,0.19376415820116136,5.443181818181818,2.590909090909091,15.280113636363637,7.371969696969697,5.557007575757575,8.657386363636364,12.81647727272727,7.677840909090909,7.380681818181818,7.989204545454545,25.47253787878788,6.287689393939394,1.115151515151515
9,0.4,low,89,0.6359550561797753,0.03671930600698239,0.36011235955056176,0.033702225438996175,0.10543071161048688,0.02209737827715356,0.44398785473588714,0.01194819771988105,0.4794612131312599,0.4324307538431715,0.16064049170401304,0.016623254917133522,0.9674030685611174,0.39025216902820536,0.9891642868148326,0.7611275424225771,0.40109628018209026,0.3570229310270345,0.3678477134357848,0.35148671630126993,0.17168652229300374,5.269662921348314,3.348314606741573,13.199625468164793,7.85880149812734,7.595318352059925,8.513483146067417,11.142322097378276,8.103932584269662,8.440823970037453,8.464419475655431,25.285018726591762,6.6838951310861425,1.2095505617977529
9,0.6,low,90,0.5775925925925927,0.04048461559424154,0.23870370370370372,0.03252007049932003,0.08851851851851852,0.023615270169707304,0.38574734368962027,0.010012178510424364,0.43046912497491363,0.35211438487385194,0.09644413333464254,0.014204539036595817,1.0234149045367111,0.4151990284214694,1.0335039997223487,0.7305641630017568,0.2493971608071166,0.22341056223582934,0.3775498452593098,0.34268596661963324,0.19510181870308327,5.7555555555555555,4.022222222222222,14.616296296296296,7.407222222222222,9.19962962962963,9.710925925925926,12.756666666666666,9.399259259259258,8.782222222222222,8.982592592592592,29.907222222222224,6.522407407407408,1.4027777777777777
11,0.0,low,88,0.41590909090909095,0.04275902575213316,0.19602272727272727,0.033106151021255796,0.1318181818181818,0.028573972935603376,0.39367096018714204,0.016686187459071796,0.42324396232819833,0.4045863318282439,0.10091095559580004,0.01812512482362298,0.7559232703957032,0.48619385694201855,0.8102317330408298,0.33989917022120575,0.8036272352483453,0.5710612813277337,0.46897589295532394,0.31872445401857646,0.20350583465818162,6.079545454545454,4.75,17.026136363636365,4.755113636363636,10.449431818181818,19.34090909090909,19.45909090909091,10.789772727272727,9.355113636363637,10.946022727272727,36.48011363636363,9.403409090909092,0.5272727272727272
11,0.2,low,89,0.44681647940074903,0.037041446375775666,0.1655430711610487,0.02676866684868583,0.12359550561797752,0.026931156885858166,0.37074067471459465,0.010884089575001577,0.4153195463121875,0.2645089419286808,0.06280335062404617,0.010923661039429017,0.8597283355460326,0.4852779838687489,0.9168265575150664,0.5183336740650163,0.611671342442895,0.43020466268267377,0.4576955851287229,0.38179965141828426,0.19340816775985067,6.573033707865169,3.50561797752809,17.234082397003746,6.207116104868914,12.250936329588015,18.422846441947566,18.379026217228464,12.13370786516854,11.487265917602997,11.104868913857679,38.91198501872659,9.25880149812734,1.4925093632958804
