trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,reached_goal,num_coins_collected,coin1_collected,coin2_collected,coin1_collection_step,coin2_collection_step,success,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,action_accuracy_phase3,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate
9,1,collect_one_size11_comp0.0_grid1_base_medium,11,0.0,medium,base,base,collect_one,11,4,11,11,4,7,11,1,1,1,1,1,1,2,1,1,15,4,1,20,0.55,0.75,0.8,0.7333333333333333,0.0,8,3,5,4,7,5,5,2,4,1,1,1,0.05
0,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,10,5,1,15,0.7333333333333333,0.9333333333333333,1.0,0.8888888888888888,0.0,5,3,1,6,6,5,3,0,0,0,0,0,0.0
1,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,8,13,1,27,0.4074074074074074,0.7037037037037037,0.8888888888888888,0.6111111111111112,0.0,9,7,3,8,10,4,5,7,10,7,4,0,0.0
2,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,6,15,1,29,0.3793103448275862,0.6896551724137931,1.0,0.5909090909090909,0.0,9,7,4,9,10,2,9,7,10,7,2,0,0.0
3,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,6,15,1,23,0.4782608695652174,0.7391304347826086,1.0,0.625,0.0,7,5,3,8,9,4,6,3,4,3,1,0,0.0
4,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,1,1,0,6,-1,1,19,0.5789473684210527,0.7894736842105263,1.0,0.6666666666666666,0.0,5,3,3,8,6,4,6,2,6,2,2,0,0.0
5,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,18,11,1,23,0.4782608695652174,0.782608695652174,0.75,0.8181818181818182,0.0,8,6,2,7,7,4,8,3,6,3,0,0,0.0
6,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,10,5,1,21,0.5238095238095238,0.8095238095238095,1.0,0.7333333333333333,0.0,5,3,4,9,8,5,4,3,3,3,1,0,0.0
7,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,10,5,1,15,0.7333333333333333,0.9333333333333333,1.0,0.8888888888888888,0.0,5,3,1,6,6,5,3,0,0,0,0,0,0.0
8,2,collect_one_size11_comp0.0_grid2_base_medium,11,0.0,medium,base,base,collect_one,7,6,5,5,4,7,11,1,1,1,1,1,1,2,1,1,10,5,1,15,0.7333333333333333,0.9333333333333333,1.0,0.8888888888888888,0.0,5,3,1,6,7,3,3,1,1,1,1,0,0.0
